input,output
a person struggling with an umbrella in the wind,when you rethink all your life choices
a person trying to parallel park,when technology lets you down
a group of people taking a selfie,when the squad gotta get the perfect angle
a raccoon digging through trash,when you have 37 tasks but decide to take a nap
a group of people taking a selfie,when you are late but still gotta flex
a fish in a tiny fishbowl,when you finally get what you wanted
a turtle crossing the road,when the squad gotta get the perfect angle
a laptop with too many tabs open,when you hide your pain behind dark lenses
a person wearing sunglasses indoors,when the squad gotta get the perfect angle
a man running with a suitcase,when the streets are your buffet
a cat staring at a wall,when someone left their mark and disappeared
a man running with a suitcase,when you finally get what you wanted
a traffic cone in the middle of the road,when the squad gotta get the perfect angle
a bird sitting on a traffic light,when you hide your pain behind dark lenses
a man running with a suitcase,when someone takes your toy away
a cup of coffee next to a book,when the squad gotta get the perfect angle
a traffic cone in the middle of the road,when someone takes your toy away
a group of people taking a selfie,when food is free and you are faster than security
a robot vacuum stuck under a chair,when your whole world is kinda small
a person struggling with an umbrella in the wind,when technology lets you down
a squirrel holding a peanut,when geometry and driving don’t mix
a robot vacuum stuck under a chair,when life stacks up but you just go with the flow
a fish in a tiny fishbowl,when you are watching traffic but traffic is watching you
a turtle crossing the road,when coffee and wisdom go hand in hand
a cup of coffee next to a book,when you realize sharing is not an option
a cat staring at a wall,when you realize sharing is not an option
a dog looking at a pizza,when you are late but still gotta flex
a bird sitting on a traffic light,when geometry and driving don’t mix
a baby making a funny face,when someone left their mark and disappeared
a bird sitting on a traffic light,when geometry and driving don’t mix
a squirrel holding a peanut,when you are late but still gotta flex
a laptop with too many tabs open,when you are late but still gotta flex
a cup of coffee next to a book,when coffee and wisdom go hand in hand
a stack of pancakes with syrup,when geometry and driving don’t mix
a group of people taking a selfie,when geometry and driving don’t mix
a fish in a tiny fishbowl,when your whole world is kinda small
a dog looking at a pizza,when you rethink all your life choices
a dog looking at a pizza,when the squad gotta get the perfect angle
a cup of coffee next to a book,when you realize sharing is not an option
a man running with a suitcase,when you hide your pain behind dark lenses
a traffic cone in the middle of the road,when life stacks up but you just go with the flow
a traffic cone in the middle of the road,when the streets are your buffet
a man running with a suitcase,when you hide your pain behind dark lenses
a kid holding a balloon,when you rethink all your life choices
a bird sitting on a traffic light,when life stacks up but you just go with the flow
a person trying to parallel park,when the streets are your buffet
a person struggling with an umbrella in the wind,when you are late but still gotta flex
a raccoon digging through trash,when you finally get what you wanted
a kid holding a balloon,when you hide your pain behind dark lenses
